#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Date Time: 2024-10-18 15:45:38.222
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.4 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.55 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.008837708333333333,2.39131518342446,4.945411526163579
-0.008835208333333334,2.395287752275163,4.945079875254025
-0.008832708333333335,2.398929273721643,4.945411526163579
-0.008830208333333332,2.402901842572351,4.945743177073135
-0.008827708333333333,2.406874411423054,4.945411526163579
-0.008825208333333334,2.410515932869532,4.94607482798269
-0.008822708333333335,2.414488501720235,4.945411526163579
-0.008820208333333333,2.418792117975169,4.945411526163579
-0.008817708333333334,2.422433639421648,4.945743177073135
-0.008815208333333335,2.425744113463901,4.945743177073135
-0.008812708333333332,2.42971668231461,4.945743177073135
-0.008810208333333333,2.433689251165313,4.94607482798269
-0.008807708333333334,2.437661820016016,4.946406478892245
-0.008805208333333335,2.440972294058269,4.94607482798269
-0.008802708333333333,2.445275910313204,4.946406478892245
